model,seconds
prophet,2.7456562519073486
arima,76.3906569480896
svr,103.40937924385071
xgboost,100.37250757217407
catboost,406.4647123813629
gnn,91.01553344726562
transformer,1964.1813628673553
rnn,243.9235062599182
lstm,3649.695755004883
rf_ga,6956.362542390823
rf_randomized,61.92349433898926
rf_grid,2683.461764574051
mlp_ga,7542.179839372635
mlp_randomized,37.24337029457092
mlp_grid,5537.194356203079
