,RMSE
prophet,51.379741210244596
rf_grid,54.4557371667583
gnn,55.389459145819266
rf_ga,55.48932720050312
rf_randomized,55.64503582949474
mlp_randomized,57.80479621708141
mlp_ga,57.889486917170544
mlp_grid,60.10530513054943
lstm,61.077686776215856
transformer,65.88020501428176
rnn,67.19615908701999
svr,72.43200594059527
arima,73.44030256442942
catboost,74.54172259210488
xgboost,81.32895900269571
