ds,y,temp,daylight
2016-05-02,304.0,10.9,14.784444444444444
2016-05-03,274.0,11.2,14.838888888888889
2016-05-04,314.0,7.3,14.892777777777777
2016-05-05,291.0,11.2,14.946111111111112
2016-05-06,348.0,14.6,14.999166666666667
2016-05-07,261.0,15.2,15.051388888888889
2016-05-08,241.0,14.8,15.103055555555555
2016-05-09,321.0,15.4,15.154166666666667
2016-05-10,312.0,15.5,15.204722222222221
2016-05-11,305.0,14.4,15.254444444444445
2016-05-12,301.0,13.7,15.303333333333333
2016-05-13,309.0,15.1,15.351666666666667
2016-05-14,249.0,12.3,15.399444444444445
2016-05-15,179.0,6.8,15.446111111111112
2016-05-16,312.0,7.2,15.492222222222223
2016-05-17,268.0,8.4,15.5375
2016-05-18,281.0,12.3,15.581666666666667
2016-05-19,251.0,13.6,15.625277777777777
2016-05-20,353.0,15.1,15.667777777777777
2016-05-21,246.0,15.6,15.709166666666667
2016-05-22,221.0,19.8,15.749722222222223
2016-05-23,346.0,16.1,15.789444444444445
2016-05-24,310.0,15.0,15.828055555555556
2016-05-25,270.0,13.6,15.865555555555556
2016-05-26,290.0,15.7,15.901944444444444
2016-05-27,334.0,16.6,15.937222222222223
2016-05-28,248.0,16.9,15.971388888888889
2016-05-29,192.0,17.1,16.004444444444445
2016-05-30,308.0,18.8,16.03611111111111
2016-05-31,338.0,16.0,16.066666666666666
2016-06-01,325.0,16.7,16.09611111111111
2016-06-02,313.0,16.0,16.124166666666667
2016-06-03,299.0,15.4,16.150833333333335
2016-06-04,219.0,16.8,16.176111111111112
2016-06-05,184.0,19.0,16.200277777777778
2016-06-06,295.0,18.4,16.22277777777778
2016-06-07,315.0,17.3,16.24388888888889
2016-06-08,308.0,17.8,16.26388888888889
2016-06-09,294.0,16.3,16.282222222222224
2016-06-10,324.0,16.3,16.29888888888889
2016-06-11,166.0,15.1,16.314444444444444
2016-06-12,192.0,16.0,16.328333333333333
2016-06-13,319.0,16.2,16.340833333333332
2016-06-14,298.0,16.4,16.351666666666667
2016-06-15,329.0,14.9,16.360833333333332
2016-06-16,294.0,17.5,16.36861111111111
2016-06-17,342.0,14.4,16.375
2016-06-18,276.0,16.4,16.379444444444445
2016-06-19,198.0,16.4,16.3825
2016-06-20,348.0,15.6,16.384166666666665
2016-06-21,273.0,16.9,16.384166666666665
2016-06-22,291.0,19.8,16.3825
2016-06-23,326.0,23.6,16.379166666666666
2016-06-24,341.0,24.7,16.374444444444446
2016-06-25,277.0,24.5,16.368333333333332
2016-06-26,212.0,18.6,16.360555555555557
2016-06-27,334.0,16.7,16.351111111111113
2016-06-28,315.0,17.0,16.34
2016-06-29,319.0,19.8,16.32777777777778
2016-06-30,318.0,18.9,16.31388888888889
2016-07-01,336.0,20.9,16.298333333333332
2016-07-02,265.0,19.2,16.281388888888888
2016-07-03,187.0,14.9,16.263055555555557
2016-07-04,277.0,16.0,16.243333333333332
2016-07-05,176.0,19.2,16.22222222222222
2016-07-06,160.0,16.2,16.199444444444445
2016-07-07,276.0,15.9,16.175555555555555
2016-07-08,245.0,19.9,16.150277777777777
2016-07-09,202.0,19.5,16.12388888888889
2016-07-10,207.0,22.2,16.095833333333335
2016-07-11,296.0,25.3,16.066666666666666
2016-07-12,295.0,19.9,16.03638888888889
2016-07-13,297.0,18.2,16.004722222222224
2016-07-14,358.0,13.3,15.971944444444444
